k 	 X         	Y      	 dx    	dy   	domain     	well 	  struc  	depth    	phi     	 kx      	 ky     	 Ax     	 Ay     	G    	 P    	WellBCs    	 rw
222	4772.31	3350.77	609.231	406.154	1	0	1390	15	0.12	0.12397	0.0681835	6092.31	9138.46	1397.5	0	0	0
223	5330.77	3350.77	507.692	406.154	1	0	1390	15	0.25	0.148764	0.0818202	6092.31	7615.38	1397.5	0	0	0
224	5838.46	3350.77	507.692	406.154	1	0	1390	15	0.2	0.14651	0.0805805	6092.31	7615.38	1397.5	0	0	0
225	6270	3350.77	355.385	406.154	1	-11	1390	15	0.15	0.152145	0.0836797	6092.31	5330.77	1397.5	0	800	0.25
226	6752.31	3350.77	609.231	406.154	1	0	1390	15	0.15	0.152145	0.0836797	6092.31	9138.46	1397.5	0	0	0
227	7323.46	3350.77	533.077	406.154	1	0	1390	12	0.2	0.15778	0.086779	4873.85	6396.92	1396	0	0	0
228	7920	3350.77	660	406.154	1	-11	1390	15	0.2	0.15778	0.086779	6092.31	9900	1397.5	0	700	0.25
229	8580	3350.77	660	406.154	1	0	1395	15	0.18	0.163415	0.0898782	6092.31	9900	1402.5	0	0	0
230	9062.31	3350.77	304.615	406.154	1	0	1395	20	0.15	0.163415	0.0898782	8123.08	6092.31	1405	0	0	0
231	9392.31	3350.77	355.385	406.154	1	0	1395	12	0.17	0.163415	0.0898782	4873.85	4264.62	1401	0	0	0
232	9798.46	3350.77	456.923	406.154	1	0	1395	10	0.25	0.15778	0.086779	4061.54	4569.23	1400	0	0	0
233	10230	3350.77	406.154	406.154	1	-11	1395	10	0.23	0.160034	0.0880187	4061.54	4061.54	1400	0	700	0.25
234	10585.4	3350.77	304.615	406.154	1	0	1400	12	0.22	0.15778	0.086779	4873.85	3655.38	1406	0	0	0
235	10940.8	3350.77	406.154	406.154	1	0	1410	10	0.21	0.152145	0.0836797	4061.54	4061.54	1415	0	0	0
236	11346.9	3350.77	406.154	406.154	1	0	1410	10	0.2	0.14651	0.0805805	4061.54	4061.54	1415	0	0	0
237	11753.1	3350.77	406.154	406.154	1	0	1410	10	0.19	0.14651	0.0805805	4061.54	4061.54	1415	0	0	0
238	12159.2	3350.77	406.154	406.154	1	0	1410	10	0.18	0.14651	0.0805805	4061.54	4061.54	1415	0	0	0
239	12565.4	3350.77	406.154	406.154	1	0	1410	10	0.18	0.140875	0.0774813	4061.54	4061.54	1415	0	0	0
